DATE,MORTGAGE30US
2023-09-04,7.2050000000000000
2023-09-18,7.1500000000000000
2023-10-02,7.2500000000000000
2023-10-16,7.5300000000000000
2023-10-30,7.7100000000000000
2023-11-13,7.6300000000000000
2023-11-27,7.3650000000000000
2023-12-11,7.1250000000000000
2023-12-25,6.8100000000000000
2024-01-08,6.6150000000000000
2024-01-22,6.6300000000000000
2024-02-05,6.6600000000000000
2024-02-19,6.7050000000000000
2024-03-04,6.9200000000000000
2024-03-18,6.8100000000000000
2024-04-01,6.8300000000000000
2024-04-15,6.8500000000000000
2024-04-29,7.1350000000000000
2024-05-13,7.1550000000000000
2024-05-27,6.9800000000000000
2024-06-10,7.0100000000000000
2024-06-24,6.9100000000000000
2024-07-08,6.9050000000000000
2024-07-22,6.8300000000000000
2024-08-05,6.7550000000000000
